ip,port,malware,confidence_level,first_seen_utc_date
158.94.209.169,6078,win.xworm,100,2025-12-09
146.70.245.66,5437,win.purelogs,100,2025-12-09
35.85.167.58,443,unknown,100,2025-12-09
216.92.45.73,443,unknown,100,2025-12-09
155.138.136.12,80,unknown,100,2025-12-09
82.59.199.142,4444,win.meterpreter,100,2025-12-09
94.177.170.33,4321,win.adaptix_c2,100,2025-12-09
93.183.93.129,59426,win.adaptix_c2,100,2025-12-09
101.99.90.62,2850,unknown,100,2025-12-09
207.126.162.205,8080,unknown,100,2025-12-09
46.226.161.131,8089,apk.hook,100,2025-12-09
45.11.183.184,9000,win.sectop_rat,100,2025-12-09
107.174.115.101,8888,unknown,100,2025-12-09
3.8.155.215,443,win.sliver,100,2025-12-09
74.119.195.181,80,win.remcos,100,2025-12-09
186.169.59.54,5060,win.remcos,100,2025-12-09
38.55.199.104,8080,win.cobalt_strike,100,2025-12-09
51.79.197.104,4782,win.quasar_rat,100,2025-12-08
77.83.207.208,3243,unknown_stealer,100,2025-12-08
195.24.236.129,443,osx.banshee,100,2025-12-08
118.107.40.167,56001,win.asyncrat,100,2025-12-08
118.107.40.167,56002,win.asyncrat,100,2025-12-08
118.107.40.167,56003,win.asyncrat,100,2025-12-08
139.99.17.184,56001,win.asyncrat,100,2025-12-08
3.121.56.238,8443,win.meterpreter,100,2025-12-08
103.136.68.61,443,js.clearfake,100,2025-12-08
43.138.248.196,80,win.cobalt_strike,75,2025-12-08
88.214.50.121,443,js.clearfake,100,2025-12-08
216.92.32.98,443,unknown,100,2025-12-08
185.88.29.170,443,unknown,100,2025-12-08
31.97.186.206,80,unknown,100,2025-12-08
137.184.181.47,443,unknown,100,2025-12-08
160.187.146.97,8443,win.dcrat,100,2025-12-08
46.226.161.131,80,apk.hook,100,2025-12-08
198.23.173.170,7443,unknown,100,2025-12-08
164.92.139.87,443,unknown,100,2025-12-08
62.60.135.148,9000,win.sectop_rat,100,2025-12-08
147.93.97.156,8888,unknown,100,2025-12-08
3.78.238.195,8080,win.sliver,100,2025-12-08
74.119.195.181,443,win.remcos,100,2025-12-08
38.47.255.37,80,win.ghost_rat,100,2025-12-08
158.94.209.164,443,win.latrodectus,100,2025-12-08
120.48.43.140,443,win.cobalt_strike,100,2025-12-08
72.18.215.99,2405,win.cobalt_strike,100,2025-12-08
178.208.168.50,6161,win.asyncrat,100,2025-12-08
82.152.167.123,57901,win.deimos_c2,75,2025-12-08
66.175.196.58,8080,win.remcos,75,2025-12-08
64.227.142.218,27015,win.sliver,75,2025-12-08
197.2.217.145,443,win.qakbot,75,2025-12-08
186.169.59.54,5010,win.asyncrat,75,2025-12-08
175.29.22.124,47004,win.deimos_c2,75,2025-12-08
185.222.57.87,55615,win.redline_stealer,100,2025-12-08
209.25.141.30,5486,win.asyncrat,100,2025-12-08
209.25.141.30,4444,win.asyncrat,100,2025-12-08
209.25.141.30,4449,win.asyncrat,100,2025-12-08
82.26.74.176,7777,win.xworm,100,2025-12-08
151.242.152.147,7000,win.xworm,100,2025-12-08
154.197.69.141,8282,win.xworm,100,2025-12-08
173.208.167.206,1488,win.xworm,100,2025-12-08
173.211.106.111,6000,win.xworm,100,2025-12-08
191.96.225.192,1337,win.xworm,100,2025-12-08
200.9.154.248,9898,win.xworm,100,2025-12-08
45.141.215.113,6000,win.xworm,100,2025-12-08
77.238.243.55,7000,win.xworm,100,2025-12-08
23.94.144.29,62520,win.purelogs,100,2025-12-08
115.42.60.163,60054,unknown,75,2025-12-08
82.27.201.13,4901,win.xworm,100,2025-12-08
89.40.31.106,7000,win.xworm,75,2025-12-08
185.196.9.252,443,win.vidar,100,2025-12-08
93.113.180.31,80,win.sliver,100,2025-12-08
45.74.4.191,2010,win.xworm,75,2025-12-08
104.198.24.41,6656,unknown_rat,75,2025-12-08
203.202.232.186,2211,win.xworm,75,2025-12-08
103.83.87.167,2289,win.xworm,75,2025-12-08
38.240.33.239,24245,win.xworm,75,2025-12-08
103.133.109.188,2298,win.xworm,75,2025-12-08
103.237.86.105,2245,win.xworm,75,2025-12-08
51.38.209.59,443,unknown,100,2025-12-08
192.155.93.247,3101,unknown,100,2025-12-08
52.57.172.61,80,unknown,100,2025-12-08
52.57.172.61,443,unknown,100,2025-12-08
51.38.209.59,80,unknown,100,2025-12-08
178.159.11.216,80,unknown,100,2025-12-08
52.76.43.213,80,unknown,100,2025-12-08
52.76.43.213,443,unknown,100,2025-12-08
178.159.11.216,443,unknown,100,2025-12-08
69.57.163.151,443,unknown,100,2025-12-08
134.209.209.26,443,unknown,100,2025-12-08
178.210.83.9,443,unknown,100,2025-12-08
45.55.127.132,443,unknown,100,2025-12-08
72.167.134.175,443,unknown,100,2025-12-08
183.181.96.178,80,unknown,100,2025-12-08
183.181.96.178,443,unknown,100,2025-12-08
213.159.30.38,443,unknown,100,2025-12-08
92.53.69.246,443,unknown,100,2025-12-08
98.70.13.131,80,unknown,100,2025-12-08
98.70.13.131,443,unknown,100,2025-12-08
35.85.167.58,80,unknown,100,2025-12-08
92.53.69.246,80,unknown,100,2025-12-08
3.35.214.173,443,unknown,100,2025-12-08
3.35.214.173,80,unknown,100,2025-12-08
35.154.224.78,443,unknown,100,2025-12-08
153.127.50.236,80,unknown,100,2025-12-08
153.127.50.236,443,unknown,100,2025-12-08
44.233.42.62,80,unknown,100,2025-12-08
50.6.6.24,443,unknown,100,2025-12-08
143.95.39.187,443,unknown,100,2025-12-08
74.50.91.62,443,unknown,100,2025-12-08
167.99.0.131,4011,unknown,100,2025-12-08
216.92.152.65,80,unknown,100,2025-12-08
216.92.152.65,443,unknown,100,2025-12-08
185.216.26.2,80,unknown,100,2025-12-08
185.216.26.2,443,unknown,100,2025-12-08
167.99.0.131,3011,unknown,100,2025-12-08
183.90.240.186,443,unknown,100,2025-12-08
