first_seen_utc,malware_printable,confidence_level,ip,port
2025-12-12,Unknown malware,100,162.215.130.152,80
2025-12-12,Meterpreter,100,213.35.114.163,8888
2025-12-12,Meterpreter,100,34.227.242.206,33070
2025-12-12,Unknown malware,100,185.208.156.159,5555
2025-12-12,SectopRAT,100,217.60.249.161,9000
2025-12-12,SectopRAT,100,213.176.79.226,9000
2025-12-12,AsyncRAT,100,45.156.87.240,777
2025-12-12,Remcos,100,190.255.86.132,5060
2025-12-12,Remcos,100,81.92.219.143,60000
2025-12-12,Remcos,100,89.149.243.170,8080
2025-12-12,Cobalt Strike,100,156.234.216.182,8712
2025-12-12,Cobalt Strike,100,47.92.196.59,443
2025-12-12,Cobalt Strike,100,117.72.99.21,9999
2025-12-12,Unknown malware,100,167.71.90.208,8888
2025-12-12,Sliver,90,208.69.78.184,31337
2025-12-12,Unknown malware,100,144.172.114.13,443
2025-12-12,Unknown malware,100,45.130.166.85,443
2025-12-12,Quasar RAT,100,202.189.12.194,5566
2025-12-12,Unknown malware,100,125.168.249.139,8443
2025-12-12,Unknown malware,100,75.66.72.160,8443
2025-12-12,Unknown malware,100,75.133.120.54,8443
2025-12-12,Unknown malware,100,24.235.137.164,8443
2025-12-12,Unknown malware,100,91.158.199.43,8443
2025-12-12,Unknown malware,100,67.254.169.34,8443
2025-12-12,Unknown malware,100,78.27.85.26,8443
2025-12-12,Unknown malware,100,46.162.105.194,8443
2025-12-12,Unknown malware,100,107.179.200.87,8443
2025-12-12,Unknown malware,100,136.24.74.5,8443
2025-12-12,Unknown malware,100,175.182.177.198,8443
2025-12-12,Unknown malware,100,24.47.51.37,8443
2025-12-12,Unknown malware,100,125.224.153.221,8443
2025-12-12,Unknown malware,100,220.246.204.92,8443
2025-12-12,Unknown malware,100,66.190.34.226,8443
2025-12-12,Unknown malware,100,165.227.48.115,3333
2025-12-12,Unknown malware,100,47.239.201.21,60000
2025-12-12,Unknown malware,100,206.189.160.102,443
2025-12-12,Unknown malware,100,195.88.24.103,8033
2025-12-12,Unknown malware,100,167.99.26.105,3333
2025-12-12,Unknown malware,100,82.156.210.64,10813
2025-12-12,Unknown malware,100,3.148.221.7,8085
2025-12-12,Unknown malware,100,111.230.103.245,3333
2025-12-12,Cobalt Strike,75,208.87.205.54,81
2025-12-12,Sliver,75,64.111.92.248,8888
2025-12-12,Sliver,75,137.131.241.10,8443
2025-12-12,Aisuru,75,77.83.240.193,8001
2025-12-12,Aisuru,75,77.83.240.194,8001
2025-12-12,Aisuru,75,45.92.218.126,8001
2025-12-12,Aisuru,75,77.83.240.196,8001
2025-12-12,Unknown malware,100,89.111.149.164,80
2025-12-12,Meterpreter,100,3.85.126.181,1963
2025-12-12,Meterpreter,100,3.85.126.181,1913
2025-12-12,Unknown malware,100,45.156.27.23,443
2025-12-12,Unknown malware,100,89.125.209.173,7443
2025-12-12,AsyncRAT,100,178.16.53.119,4444
2025-12-12,Sliver,100,44.200.209.5,8080
2025-12-12,Sliver,100,44.200.209.5,443
2025-12-12,Sliver,100,137.131.241.10,443
2025-12-12,Latrodectus,100,178.16.53.165,443
2025-12-12,Latrodectus,100,178.16.53.175,443
2025-12-12,Cobalt Strike,100,38.54.88.89,80
2025-12-12,Cobalt Strike,100,121.43.230.164,8080
2025-12-12,Cobalt Strike,100,192.210.215.210,443
2025-12-12,Unknown malware,75,195.177.94.107,56238
2025-12-12,Cobalt Strike,100,216.126.239.157,8888
2025-12-12,Cobalt Strike,100,45.192.248.45,8088
2025-12-12,Cobalt Strike,100,36.253.9.57,8081
2025-12-12,Cobalt Strike,100,8.148.211.47,9999
2025-12-12,Cobalt Strike,100,45.207.208.83,443
2025-12-12,Cobalt Strike,100,15.204.59.20,80
2025-12-12,Mirai,80,213.209.143.34,59666
2025-12-12,Sliver,50,144.202.27.199,31337
2025-12-12,Unknown malware,75,193.27.90.80,5010
2025-12-12,Unknown RAT,100,206.206.127.137,8041
2025-12-12,Amatera,100,94.183.183.52,443
2025-12-12,Amatera,100,213.176.16.165,443
2025-12-12,Stealc,100,95.182.101.109,80
2025-12-12,Stealc,100,198.251.84.61,80
2025-12-12,Vidar,100,157.180.22.193,443
2025-12-12,Mirai,80,158.94.210.44,1312
2025-12-12,XWorm,50,116.103.90.20,4411
2025-12-12,DCRat,50,195.85.207.132,1337
2025-12-12,Remcos,100,91.202.233.215,2404
2025-12-12,Unknown malware,100,37.77.107.49,80
2025-12-12,Empire Downloader,100,13.238.96.31,88
2025-12-12,Meterpreter,100,168.245.200.34,3790
2025-12-12,AdaptixC2,100,107.149.142.169,4444
2025-12-12,AdaptixC2,100,103.245.231.83,4321
2025-12-12,Havoc,100,91.204.74.131,443
2025-12-12,Unknown malware,100,102.117.170.95,7443
2025-12-12,SectopRAT,100,62.164.177.31,9000
2025-12-12,SectopRAT,100,62.164.177.31,15647
2025-12-12,AsyncRAT,100,107.172.31.102,80
2025-12-12,Sliver,100,34.239.178.12,8080
2025-12-12,Sliver,100,80.78.30.76,443
2025-12-12,Cobalt Strike,100,119.45.250.8,443
2025-12-12,Cobalt Strike,100,43.138.159.121,88
2025-12-12,Cobalt Strike,100,156.234.145.37,43131
2025-12-12,Cobalt Strike,100,23.226.48.206,43131
2025-12-12,Cobalt Strike,100,23.248.214.10,43131
2025-12-12,XWorm,75,84.200.17.174,6000
2025-12-12,Cobalt Strike,75,67.219.102.244,53
2025-12-12,Cobalt Strike,75,47.97.113.42,8443
2025-12-12,Cobalt Strike,75,156.234.216.187,43131
2025-12-12,Mirai,75,142.252.220.135,8443
2025-12-12,Mirai,75,193.233.87.70,8443
2025-12-12,Unknown malware,100,80.69.88.61,80
2025-12-12,Unknown malware,100,23.17.234.198,3000
2025-12-12,Remcos,100,172.111.150.202,3872
2025-12-11,Mirai,75,87.121.79.78,8443
2025-12-11,Mirai,75,87.121.79.77,8443
2025-12-11,Mirai,75,5.144.180.203,8443
2025-12-11,Mirai,75,142.252.220.133,8443
2025-12-11,Mirai,75,45.144.154.19,8443
2025-12-11,Unknown malware,100,39.97.169.132,9205
2025-12-11,Unknown malware,100,206.189.134.63,3333
2025-12-11,Unknown malware,100,34.66.202.252,3333
2025-12-11,Unknown malware,100,34.246.31.235,80
2025-12-11,Unknown malware,100,170.239.86.232,3333
2025-12-11,Unknown malware,100,51.68.120.136,443
2025-12-11,Unknown malware,100,47.109.89.42,9999
2025-12-11,Unknown malware,100,84.235.240.155,443
2025-12-11,Unknown malware,100,185.132.53.129,443
2025-12-11,Unknown malware,100,34.159.98.118,443
2025-12-11,Unknown malware,100,5.9.22.244,3333
2025-12-11,Unknown malware,100,54.220.23.183,80
2025-12-11,Unknown malware,100,129.151.185.173,3333
2025-12-11,Unknown malware,100,87.106.13.169,3333
2025-12-11,Unknown malware,100,60.205.166.136,60000
2025-12-11,Hook,100,23.132.164.76,80
2025-12-11,AsyncRAT,100,107.172.31.101,8080
2025-12-11,AsyncRAT,100,5.175.184.143,443
2025-12-11,AsyncRAT,100,138.68.155.86,8808
2025-12-11,Unknown malware,100,23.95.148.136,8888
2025-12-11,Sliver,90,34.239.178.12,443
2025-12-11,Cobalt Strike,100,156.234.101.164,43131
2025-12-11,Cobalt Strike,100,23.235.188.26,43131
2025-12-11,Cobalt Strike,100,156.234.101.177,43131
2025-12-11,Cobalt Strike,100,23.248.214.7,43131
2025-12-11,Cobalt Strike,100,23.248.214.4,43131
2025-12-11,Cobalt Strike,100,156.234.101.184,43131
2025-12-11,Cobalt Strike,100,23.235.188.22,43131
2025-12-11,Cobalt Strike,100,23.226.48.194,43131
2025-12-11,Cobalt Strike,100,23.235.188.6,43131
2025-12-11,Cobalt Strike,100,23.226.48.213,43131
2025-12-11,Cobalt Strike,100,156.234.101.169,43131
2025-12-11,Cobalt Strike,100,156.234.101.182,43131
2025-12-11,Cobalt Strike,100,156.234.145.60,43131
2025-12-11,Cobalt Strike,100,156.234.216.174,43131
2025-12-11,Cobalt Strike,100,156.234.101.166,43131
2025-12-11,Cobalt Strike,100,23.248.214.28,43131
2025-12-11,Cobalt Strike,100,156.234.101.173,43131
2025-12-11,Cobalt Strike,100,156.234.145.46,43131
2025-12-11,Cobalt Strike,100,156.234.216.189,43131
2025-12-11,Cobalt Strike,100,188.121.123.185,443
2025-12-11,Cobalt Strike,100,156.234.101.172,43131
2025-12-11,Cobalt Strike,100,156.234.101.180,43131
2025-12-11,Cobalt Strike,100,5.182.210.126,5986
2025-12-11,Cobalt Strike,100,23.235.188.19,43131
2025-12-11,Cobalt Strike,100,23.235.188.15,43131
2025-12-11,Cobalt Strike,100,156.234.216.170,43131
2025-12-11,Cobalt Strike,100,23.226.48.222,43131
2025-12-11,Cobalt Strike,100,23.235.188.14,43131
2025-12-11,Cobalt Strike,100,23.248.214.22,43131
2025-12-11,Cobalt Strike,100,156.234.145.62,43131
2025-12-11,Cobalt Strike,100,23.248.214.26,43131
2025-12-11,Cobalt Strike,100,83.229.125.47,8080
2025-12-11,Meterpreter,100,13.221.6.18,49468
2025-12-11,Meterpreter,100,54.163.15.175,8473
2025-12-11,Meterpreter,100,54.162.54.100,44819
2025-12-11,Meterpreter,100,196.75.85.133,2222
2025-12-11,Havoc,100,179.145.47.79,8081
2025-12-11,SectopRAT,100,178.16.53.110,9000
2025-12-11,Cobalt Strike,100,23.226.48.207,43131
2025-12-11,Cobalt Strike,100,156.234.101.181,43131
2025-12-11,Cobalt Strike,100,8.138.46.167,2443
2025-12-11,Cobalt Strike,100,156.234.145.41,43131
2025-12-11,Cobalt Strike,100,156.234.101.183,43131
2025-12-11,Cobalt Strike,100,156.234.145.36,43131
2025-12-11,Cobalt Strike,100,23.235.188.28,43131
2025-12-11,Cobalt Strike,100,23.235.188.11,43131
2025-12-11,Cobalt Strike,100,23.235.188.1,43131
2025-12-11,Cobalt Strike,100,23.226.48.203,43131
2025-12-11,Cobalt Strike,100,23.248.237.43,43131
2025-12-11,Cobalt Strike,100,156.234.101.174,43131
2025-12-11,Cobalt Strike,100,156.234.145.49,43131
2025-12-11,Cobalt Strike,100,156.234.216.166,43131
2025-12-11,Cobalt Strike,100,156.234.101.190,43131
2025-12-11,Cobalt Strike,100,23.248.214.8,43131
2025-12-11,Cobalt Strike,100,23.248.214.17,43131
2025-12-11,Cobalt Strike,100,156.234.101.176,43131
2025-12-11,Cobalt Strike,100,156.234.216.168,43131
2025-12-11,Cobalt Strike,100,23.226.48.199,43131
2025-12-11,Cobalt Strike,100,156.234.216.171,43131
2025-12-11,Cobalt Strike,100,156.234.145.44,43131
2025-12-11,Cobalt Strike,100,23.248.214.1,43131
