ip,port,tag
51.210.1.239,8443,malicious/365stealer_phishtool
15.235.212.23,8443,malicious/365stealer_phishtool
20.198.21.60,443,malicious/365stealer_phishtool
89.125.255.226,82,malicious/365stealer_phishtool
144.172.106.67,8000,malicious/adaptix_c2
66.112.216.232,443,malicious/adaptix_c2
97.64.81.119,443,malicious/adaptix_c2
67.211.222.140,4455,malicious/adaptix_c2
101.33.202.134,443,malicious/adaptix_c2
101.42.100.236,443,malicious/adaptix_c2
103.136.150.185,443,malicious/adaptix_c2
103.171.35.40,443,malicious/adaptix_c2
104.167.16.88,443,malicious/adaptix_c2
104.244.90.70,443,malicious/adaptix_c2
106.12.113.41,443,malicious/adaptix_c2
106.13.211.216,443,malicious/adaptix_c2
106.13.216.152,443,malicious/adaptix_c2
107.149.223.64,443,malicious/adaptix_c2
107.158.128.78,443,malicious/adaptix_c2
107.172.143.14,443,malicious/adaptix_c2
107.174.66.121,443,malicious/adaptix_c2
108.136.233.72,443,malicious/adaptix_c2
108.137.150.223,443,malicious/adaptix_c2
109.196.99.120,443,malicious/adaptix_c2
110.41.44.100,443,malicious/adaptix_c2
111.229.80.204,443,malicious/adaptix_c2
117.72.118.156,443,malicious/adaptix_c2
118.178.191.92,443,malicious/adaptix_c2
120.55.71.141,443,malicious/adaptix_c2
121.43.134.150,443,malicious/adaptix_c2
121.43.224.166,443,malicious/adaptix_c2
13.215.203.179,443,malicious/adaptix_c2
13.232.53.239,443,malicious/adaptix_c2
132.232.113.179,443,malicious/adaptix_c2
132.232.237.212,443,malicious/adaptix_c2
134.209.112.57,443,malicious/adaptix_c2
137.220.134.251,443,malicious/adaptix_c2
139.180.215.242,443,malicious/adaptix_c2
139.59.17.50,443,malicious/adaptix_c2
139.84.150.129,443,malicious/adaptix_c2
142.189.181.110,443,malicious/adaptix_c2
144.172.103.74,443,malicious/adaptix_c2
144.172.106.67,443,malicious/adaptix_c2
144.172.122.100,443,malicious/adaptix_c2
144.172.122.219,443,malicious/adaptix_c2
144.172.89.30,443,malicious/adaptix_c2
146.70.24.132,443,malicious/adaptix_c2
146.70.24.153,443,malicious/adaptix_c2
146.70.24.160,443,malicious/adaptix_c2
146.70.41.141,443,malicious/adaptix_c2
146.70.41.167,443,malicious/adaptix_c2
146.70.41.176,443,malicious/adaptix_c2
146.70.44.174,443,malicious/adaptix_c2
146.70.44.228,443,malicious/adaptix_c2
146.70.87.237,443,malicious/adaptix_c2
146.70.87.26,443,malicious/adaptix_c2
146.70.87.37,443,malicious/adaptix_c2
146.70.87.42,443,malicious/adaptix_c2
146.70.87.50,443,malicious/adaptix_c2
146.70.87.64,443,malicious/adaptix_c2
146.70.87.96,443,malicious/adaptix_c2
147.93.118.55,443,malicious/adaptix_c2
148.251.135.156,443,malicious/adaptix_c2
15.157.228.170,443,malicious/adaptix_c2
152.136.134.119,443,malicious/adaptix_c2
155.138.224.101,443,malicious/adaptix_c2
156.238.233.69,443,malicious/adaptix_c2
157.180.8.158,443,malicious/adaptix_c2
157.250.195.16,443,malicious/adaptix_c2
