ip	first_seen_utc	tag
8.211.156.87	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
14.103.142.173	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
77.3.217.7	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
23.95.106.22	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
45.88.186.199	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
162.19.205.184	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
38.147.170.55	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
95.217.242.205	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
95.217.25.1	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
65.109.241.240	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
95.217.241.248	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
91.107.252.37	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
157.90.147.67	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
91.124.149.229	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
78.47.123.242	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
95.217.240.117	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
95.217.242.95	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
95.217.25.244	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
46.224.107.187	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
65.109.242.86	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
91.124.149.231	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
95.216.176.2	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
46.224.48.142	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
86.54.42.138	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
95.217.28.117	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
95.216.177.27	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
95.216.181.100	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
116.202.3.184	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
219.246.21.240	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
219.246.21.241	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
195.20.17.33	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
192.227.217.229	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
118.107.6.209	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
154.12.50.119	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
20.195.41.174	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.47.32	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.47.48	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.47.37	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.46.95	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.46.28	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.46.8	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.46.22	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.46.78	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.47.21	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.47.28	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.46.91	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.47.23	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.46.12	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.46.108	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.47.68	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.47.22	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
103.177.47.25	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/Cobalt Strike
95.216.181.100	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
116.202.3.184	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
78.47.123.242	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
95.217.240.117	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
95.217.242.95	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
95.217.25.244	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
46.224.107.187	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
65.109.242.86	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
91.124.149.231	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
95.216.176.2	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
46.224.48.142	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
86.54.42.138	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
95.217.28.117	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
95.216.177.27	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
95.217.242.205	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
95.217.25.1	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
65.109.241.240	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
95.217.241.248	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
91.107.252.37	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
157.90.147.67	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
91.124.149.229	2025-12-15	ThreatFox Hunt: Vidar IOCs - 2025-12-15
91.146.100.11	2025-12-15	Storm-2603
38.54.117.44	2025-12-15	EarthPreta
134.35.0.184	2025-12-15	GuardZoo
134.35.4.164	2025-12-15	GuardZoo
178.208.168.156	2025-12-15	DesertDexter
178.208.168.239	2025-12-15	DesertDexter
193.26.115.161	2025-12-15	BlindEagle
95.217.242.205	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
95.217.25.1	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
65.109.241.240	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
95.217.241.248	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
91.107.252.37	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
157.90.147.67	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
91.124.149.229	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
78.47.123.242	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
95.217.240.117	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
95.217.242.95	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
95.217.25.244	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
46.224.107.187	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
65.109.242.86	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
91.124.149.231	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
95.216.176.2	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
46.224.48.142	2025-12-15	OSINT Volley 2025-12-15 - ClearFake/Vidar/XWorm
