ip	tag
103.30.87.130	7777 Botnet
47.242.51.181	Ares RAT C2
94.154.35.73	AsyncRAT
45.152.243.178	AsyncRAT
45.81.23.27	AsyncRAT
157.20.182.29	AsyncRAT
158.94.208.206	AsyncRAT
89.116.164.107	AsyncRAT
178.16.54.222	AsyncRAT
195.3.223.146	AsyncRAT
95.9.236.210	AsyncRAT
157.20.182.28	AsyncRAT
172.94.36.171	AsyncRAT
82.65.19.134	AsyncRAT
157.20.182.18	AsyncRAT
164.68.120.30	AsyncRAT
198.23.227.175	AsyncRAT
191.93.118.254	AsyncRAT
212.11.64.126	AsyncRAT
188.216.158.167	AsyncRAT
107.155.68.162	AsyncRAT
157.20.182.9	AsyncRAT
195.66.215.248	AsyncRAT
5.253.86.251	BitRAT
196.251.100.52	BlackNet Botnet
196.251.100.50	BlackNet Botnet
57.182.184.49	Brute Ratel C4
3.115.56.24	Brute Ratel C4
2.44.116.198	Brute Ratel C4
57.181.63.165	Brute Ratel C4
109.115.89.31	Brute Ratel C4
90.156.225.193	BurpSuite
47.102.108.176	BurpSuite
13.49.111.113	BurpSuite
8.134.147.233	BurpSuite
192.175.22.188	BurpSuite
44.239.165.208	BurpSuite
168.138.208.253	BurpSuite
15.236.205.206	BurpSuite
47.98.125.4	BurpSuite
160.16.4.59	BurpSuite
39.106.41.55	BurpSuite
95.110.142.86	BurpSuite
8.134.18.3	BurpSuite
96.126.108.228	BurpSuite
47.96.90.108	BurpSuite
113.45.207.44	BurpSuite
5.161.72.214	BurpSuite
45.55.2.111	BurpSuite
149.104.0.202	BurpSuite
96.245.214.139	BurpSuite
47.107.127.173	BurpSuite
93.179.115.149	BurpSuite
8.130.110.67	BurpSuite
47.94.131.219	BurpSuite
112.124.47.226	BurpSuite
198.144.179.122	BurpSuite
4.196.104.90	BurpSuite
163.192.60.217	BurpSuite
43.156.102.200	BurpSuite
108.61.81.4	BurpSuite
4.225.50.39	BurpSuite
119.23.43.3	BurpSuite
35.153.59.29	BurpSuite
47.99.34.158	BurpSuite
113.44.91.210	BurpSuite
3.110.153.212	BurpSuite
54.84.101.211	BurpSuite
139.59.138.247	BurpSuite
52.199.82.99	BurpSuite
131.186.57.140	BurpSuite
167.99.116.253	BurpSuite
43.128.107.228	BurpSuite
34.215.155.85	BurpSuite
47.239.253.213	BurpSuite
45.77.76.222	BurpSuite
118.121.45.54	BurpSuite
157.7.114.235	BurpSuite
8.155.52.126	BurpSuite
173.255.192.109	BurpSuite
161.35.24.145	BurpSuite
5.2.72.106	BurpSuite
150.136.136.192	BurpSuite
2604:a880:1:20::264:4001	BurpSuite
121.43.238.183	BurpSuite
43.167.199.62	BurpSuite
35.163.42.224	BurpSuite
8.130.107.10	BurpSuite
157.230.107.196	BurpSuite
120.79.153.55	BurpSuite
95.179.211.228	BurpSuite
47.94.22.128	BurpSuite
52.14.64.7	BurpSuite
124.220.68.139	BurpSuite
23.95.240.226	BurpSuite
46.249.102.41	BurpSuite
182.92.159.22	BurpSuite
83.147.241.206	BurpSuite
154.83.13.187	BurpSuite
162.250.190.93	BurpSuite
223.27.46.100	BurpSuite
77.81.247.31	BurpSuite
64.181.253.76	BurpSuite
120.79.88.89	BurpSuite
117.72.62.2	BurpSuite
157.90.74.12	BurpSuite
47.76.163.238	BurpSuite
143.244.186.168	BurpSuite
172.105.73.93	BurpSuite
199.241.1.215	BurpSuite
107.173.154.73	BurpSuite
155.248.230.134	BurpSuite
156.238.233.41	BurpSuite
43.163.233.138	BurpSuite
185.165.169.222	BurpSuite
157.230.21.24	BurpSuite
120.46.70.199	BurpSuite
138.197.194.52	BurpSuite
38.102.85.20	BurpSuite
18.132.177.238	BurpSuite
192.18.131.107	BurpSuite
49.234.50.217	BurpSuite
199.241.1.213	BurpSuite
113.44.133.1	BurpSuite
80.249.147.184	BurpSuite
44.202.35.26	BurpSuite
213.199.59.223	BurpSuite
92.38.48.140	BurpSuite
8.137.62.229	BurpSuite
113.45.177.191	BurpSuite
20.198.10.217	BurpSuite
120.27.241.98	BurpSuite
52.36.65.182	BurpSuite
199.241.1.214	BurpSuite
154.8.205.73	BurpSuite
195.201.175.76	BurpSuite
81.200.146.35	BurpSuite
47.106.179.48	BurpSuite
35.219.127.45	BurpSuite
194.163.189.143	BurpSuite
44.196.75.40	BurpSuite
120.53.124.202	BurpSuite
51.89.84.155	BurpSuite
144.168.45.46	Caldera C2
54.177.100.78	Caldera C2
18.220.52.24	Caldera C2
154.222.31.14	Cobalt Strike C2
43.139.3.86	Cobalt Strike C2
163.47.9.13	Cobalt Strike C2
172.190.244.213	Cobalt Strike C2
115.29.202.62	Cobalt Strike C2
179.43.186.214	Cobalt Strike C2
47.121.137.8	Cobalt Strike C2
134.122.140.185	Cobalt Strike C2
72.144.27.177	Cobalt Strike C2
119.45.29.172	Cobalt Strike C2
106.13.137.229	Cobalt Strike C2
47.79.19.147	Cobalt Strike C2
8.138.99.234	Cobalt Strike C2
117.72.181.104	Cobalt Strike C2
111.228.40.85	Cobalt Strike C2
43.163.112.217	Cobalt Strike C2
47.105.36.109	Cobalt Strike C2
129.204.254.108	Cobalt Strike C2
83.229.121.82	Cobalt Strike C2
23.235.187.69	Cobalt Strike C2
91.86.43.83	Cobalt Strike C2
103.125.248.109	Cobalt Strike C2
47.243.100.234	Cobalt Strike C2
103.254.110.182	Cobalt Strike C2
40.67.149.122	Cobalt Strike C2
77.83.207.217	Cobalt Strike C2
139.196.126.161	Cobalt Strike C2
43.249.175.89	Cobalt Strike C2
45.32.250.246	Cobalt Strike C2
47.242.129.79	Cobalt Strike C2
123.57.2.124	Cobalt Strike C2
18.139.83.173	Cobalt Strike C2
144.124.234.143	Cobalt Strike C2
120.76.158.8	Cobalt Strike C2
82.156.145.11	Cobalt Strike C2
47.99.68.122	Cobalt Strike C2
165.154.238.214	Cobalt Strike C2
117.72.160.177	Cobalt Strike C2
194.87.68.115	Cobalt Strike C2
4.201.220.7	Cobalt Strike C2
123.207.20.187	Cobalt Strike C2
106.75.215.96	Cobalt Strike C2
103.164.81.113	Cobalt Strike C2
114.132.217.187	Cobalt Strike C2
39.97.47.45	Cobalt Strike C2
1.13.175.24	Cobalt Strike C2
101.35.223.90	Cobalt Strike C2
39.105.165.37	Cobalt Strike C2
117.72.197.178	Cobalt Strike C2
41.216.189.46	Cobalt Strike C2
165.154.125.212	Cobalt Strike C2
101.43.2.116	Cobalt Strike C2
47.79.88.143	Cobalt Strike C2
202.182.114.60	Cobalt Strike C2
43.139.146.100	Cobalt Strike C2
101.132.173.62	Cobalt Strike C2
118.31.18.77	Cobalt Strike C2
106.54.61.188	Cobalt Strike C2
103.73.66.43	Cobalt Strike C2
88.214.50.137	Cobalt Strike C2
81.70.97.41	Cobalt Strike C2
152.136.139.105	Cobalt Strike C2
123.56.87.43	Cobalt Strike C2
8.131.118.10	Cobalt Strike C2
124.221.240.143	Cobalt Strike C2
68.64.176.42	Cobalt Strike C2
208.87.205.1	Cobalt Strike C2
43.143.97.172	Cobalt Strike C2
94.74.164.177	Cobalt Strike C2
8.159.132.170	Cobalt Strike C2
192.140.163.165	Cobalt Strike C2
54.166.128.216	Cobalt Strike C2
116.230.254.66	Cobalt Strike C2
124.223.199.39	Cobalt Strike C2
178.16.55.53	Cobalt Strike C2
106.75.162.108	Cobalt Strike C2
8.213.237.239	Cobalt Strike C2
103.97.179.158	Cobalt Strike C2
87.251.67.85	Cobalt Strike C2
115.120.248.106	Cobalt Strike C2
117.72.214.50	Cobalt Strike C2
149.30.248.18	Cobalt Strike C2
1.15.25.148	Cobalt Strike C2
208.87.203.61	Cobalt Strike C2
119.29.183.182	Cobalt Strike C2
173.44.62.141	Cobalt Strike C2
195.178.110.135	Cobalt Strike C2
119.45.25.66	Cobalt Strike C2
39.96.210.54	Cobalt Strike C2
47.116.208.81	Cobalt Strike C2
208.87.204.43	Cobalt Strike C2
146.190.171.156	Cobalt Strike C2
47.243.175.24	Cobalt Strike C2
165.154.224.175	Cobalt Strike C2
156.238.249.5	Cobalt Strike C2
8.148.238.210	Cobalt Strike C2
38.134.189.182	Cobalt Strike C2
16.170.164.58	Cobalt Strike C2
172.245.215.43	Cobalt Strike C2
208.87.204.7	Cobalt Strike C2
124.223.104.136	Cobalt Strike C2
119.91.64.59	Cobalt Strike C2
20.74.209.192	Cobalt Strike C2
110.40.176.194	Cobalt Strike C2
213.183.54.229	Cobalt Strike C2
152.32.169.68	Cobalt Strike C2
8.137.149.67	Cobalt Strike C2
47.90.142.15	Cobalt Strike C2
