ip	port	tag	ioc_source	first_seen_utc	first_crawl_date	last_seen_date	count
1.1.179.25			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-12	3
1.13.19.219			CyberCure|greensnow|ipsum		2025-12-11	2025-12-12	3
1.13.79.144			CyberCure|greensnow|ipsum		2025-12-11	2025-12-12	3
1.15.25.148		Cobalt Strike C2|malware_download	Montysecurity|threatview.io|urlhaus	2025-11-02	2025-12-11	2025-12-12	3
1.161.49.186			CyberCure|greensnow|ipsum		2025-12-11	2025-12-12	3
1.162.231.97			CyberCure|greensnow|ipsum		2025-12-12	2025-12-12	3
1.193.63.113			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.20.220.158			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-12	3
1.212.90.61			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
1.214.197.163			CyberCure|greensnow|ipsum		2025-12-11	2025-12-12	3
1.221.66.66			CyberCure|greensnow|ipsum		2025-12-11	2025-12-12	3
1.222.92.35			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
1.223.227.114			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
1.238.106.229			CyberCure|greensnow|ipsum		2025-12-11	2025-12-12	3
1.24.16.108			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.129			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.132			Binarydefense|FireHOL|cinsscore		2025-12-12	2025-12-12	3
1.24.16.134			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.146			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.147			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.148			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.149			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.178			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.18			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.205			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.210			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.22			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.244			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.249			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.26			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.53			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.54			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.57			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.63			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.64			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.65			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.70			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.71			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.77			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.79			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.82			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.9			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.24.16.97			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.241.37.117			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-12	3
1.248.227.206			CyberCure|FireHOL|ipsum		2025-12-11	2025-12-12	3
1.34.179.16			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
1.55.33.86			CyberCure|greensnow|ipsum		2025-12-11	2025-12-12	3
1.83.125.177			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.83.125.204			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.83.125.245			Binarydefense|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.83.125.6			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.83.125.7			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.83.125.88			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
1.85.42.195			CyberCure|SNORT|ipsum		2025-12-11	2025-12-12	3
1.92.101.101			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.21.51.20			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
100.22.0.89			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
100.22.120.213			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
100.22.234.236			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-12	3
100.24.34.255			Binarydefense|CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	5
100.24.37.81			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	4
100.24.4.107			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	4
100.24.4.116			Binarydefense|CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	5
100.26.106.240			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	4
100.27.201.47			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	4
100.29.192.1			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.10			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.100			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.101			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.102			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.103			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.104			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.105			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.106			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.107			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.108			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.109			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.11			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	4
100.29.192.110			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	4
100.29.192.111			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.112			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-12	3
100.29.192.113			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.114			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.115			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.116			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.117			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	4
100.29.192.118			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.119			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.12			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.121			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.122			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.123			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
100.29.192.124			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-12	3
