ip	port	tag	ioc_source	first_seen_utc	first_crawl_date	last_seen_date	count
1.12.231.30	8080	Cobalt Strike|Possible Cobaltstrike C2 IP|malware/cobaltstrike-2	C2IntelFeeds|NamePipes|maltrail	2025-12-27	2025-12-28	2026-08-10	3
1.13.175.24	8060	Cobalt Strike|Possible Cobaltstrike C2 IP|malware/cobaltstrike-2	C2IntelFeeds|NamePipes|maltrail	2025-11-05	2025-12-11	2026-08-10	3
1.14.241.63	8889	Cobalt Strike|Possible Cobaltstrike C2 IP|malware/cobaltstrike-2	C2IntelFeeds|NamePipes|maltrail	2026-01-17	2026-01-18	2026-08-10	3
1.14.241.63	8899	Cobalt Strike|Possible Cobaltstrike C2 IP|malware/cobaltstrike-2	C2IntelFeeds|NamePipes|maltrail	2026-01-27	2026-01-27	2026-08-10	3
1.15.246.91	6767	Cobalt Strike|Possible Cobaltstrike C2 IP|malware/cobaltstrike-2	C2IntelFeeds|NamePipes|maltrail	2025-11-11	2025-12-11	2026-08-10	3
1.15.25.138	3443	Cobalt Strike|Possible Cobaltstrike C2 IP|malware/cobaltstrike-2	C2IntelFeeds|NamePipes|maltrail	2025-07-11	2025-12-11	2026-08-10	3
1.15.25.148		Cobalt Strike C2|malware_download	Montysecurity|threatview.io|urlhaus	2025-11-02	2025-12-11	2026-08-10	3
1.15.25.148	3443	Cobalt Strike|Possible Cobaltstrike C2 IP|malware/cobaltstrike-2	C2IntelFeeds|NamePipes|maltrail	2025-07-09	2025-12-11	2026-08-10	3
1.15.25.148	9080	Cobalt Strike|Possible Cobaltstrike C2 IP|malware/cobaltstrike-2	C2IntelFeeds|NamePipes|maltrail	2025-07-08	2025-12-11	2026-08-10	3
1.15.51.236			FireHOL|cinsscore|ipsum		2025-12-16	2026-08-10	3
1.193.63.135			CyberCure|FireHOL|cinsscore		2026-02-01	2026-08-10	3
1.197.102.62			CyberCure|FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	4
1.198.31.227	54002	Cobalt Strike|Possible Cobaltstrike C2 IP|malware/cobaltstrike-2	C2IntelFeeds|NamePipes|maltrail	2025-11-24	2025-12-11	2026-08-10	3
1.204.166.3			CyberCure|greensnow|ipsum		2025-12-11	2026-08-10	3
1.212.225.99			CyberCure|greensnow|ipsum		2025-12-11	2026-08-10	3
1.214.117.218			CyberCure|greensnow|ipsum		2026-03-14	2026-08-10	3
1.214.197.163			CyberCure|greensnow|ipsum		2025-12-11	2026-08-10	3
1.215.138.43			FireHOL|cinsscore|greensnow|ipsum		2025-12-15	2026-08-10	4
1.220.119.116			FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	3
1.220.64.218			Binarydefense|CyberCure|ipsum		2025-12-11	2026-08-10	3
1.222.42.237			CyberCure|greensnow|ipsum		2026-03-14	2026-08-10	3
1.222.92.35			FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	3
1.235.222.192			Binarydefense|FireHOL|ipsum		2026-01-31	2026-08-10	3
1.238.106.229			CyberCure|greensnow|ipsum		2025-12-11	2026-08-10	3
1.24.16.10			FireHOL|cinsscore|ipsum		2025-12-13	2026-08-10	3
1.24.16.105			FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	3
1.24.16.107			FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	3
1.24.16.11			FireHOL|cinsscore|ipsum		2025-12-13	2026-08-10	3
1.24.16.112			FireHOL|cinsscore|ipsum		2025-12-16	2026-08-10	3
1.24.16.113			FireHOL|cinsscore|ipsum		2025-12-13	2026-08-10	3
1.24.16.115			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.120			FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	3
1.24.16.121			Binarydefense|CyberCure|FireHOL|cinsscore		2025-12-11	2026-08-10	4
1.24.16.122			FireHOL|cinsscore|ipsum		2025-12-14	2026-08-10	3
1.24.16.13			CyberCure|FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	4
1.24.16.131			FireHOL|cinsscore|ipsum		2026-01-02	2026-08-10	3
1.24.16.132			Binarydefense|FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	4
1.24.16.134			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.141			FireHOL|cinsscore|ipsum		2025-12-15	2026-08-10	3
1.24.16.145			Binarydefense|FireHOL|cinsscore|ipsum		2025-12-19	2026-08-10	4
1.24.16.155			FireHOL|cinsscore|ipsum		2025-12-13	2026-08-10	3
1.24.16.157			FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	3
1.24.16.159			CyberCure|FireHOL|cinsscore		2025-12-16	2026-08-10	3
1.24.16.165			FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	3
1.24.16.169			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.184			CyberCure|FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	4
1.24.16.191			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.193			FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	3
1.24.16.20			FireHOL|cinsscore|ipsum		2025-12-17	2026-08-10	3
1.24.16.201			Binarydefense|CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	5
1.24.16.207			Binarydefense|FireHOL|cinsscore		2025-12-16	2026-08-10	3
1.24.16.208			FireHOL|cinsscore|ipsum		2025-12-17	2026-08-10	3
1.24.16.209			FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	3
1.24.16.210			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.213			FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	3
1.24.16.218			FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	3
1.24.16.220			Binarydefense|FireHOL|cinsscore|ipsum		2025-12-21	2026-08-10	4
1.24.16.221			FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	3
1.24.16.224			FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	3
1.24.16.226			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.227			Binarydefense|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.229			FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	3
1.24.16.232			FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	3
1.24.16.233			CyberCure|FireHOL|cinsscore		2025-12-11	2026-08-10	3
1.24.16.234			FireHOL|cinsscore|ipsum		2025-12-18	2026-08-10	3
1.24.16.237			Binarydefense|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.238			FireHOL|cinsscore|ipsum		2025-12-13	2026-08-10	3
1.24.16.24			FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	3
1.24.16.242			CyberCure|FireHOL|cinsscore		2025-12-11	2026-08-10	3
1.24.16.252			Binarydefense|FireHOL|cinsscore|ipsum		2025-12-16	2026-08-10	4
1.24.16.26			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.29			FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	3
1.24.16.30			CyberCure|FireHOL|cinsscore		2025-12-12	2026-08-10	3
1.24.16.32			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.35			FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	3
1.24.16.38			FireHOL|cinsscore|ipsum		2025-12-12	2026-08-10	3
1.24.16.39			FireHOL|cinsscore|ipsum		2025-12-23	2026-08-10	3
1.24.16.4			FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	3
1.24.16.42			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.49			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.53			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.54			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.59			FireHOL|cinsscore|ipsum		2025-12-15	2026-08-10	3
1.24.16.65			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	4
1.24.16.66			FireHOL|cinsscore|ipsum		2025-12-15	2026-08-10	3
1.24.16.68			FireHOL|cinsscore|ipsum		2025-12-15	2026-08-10	3
1.24.16.70			Binarydefense|CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2026-08-10	5
