ip,ports_set
1.222.50.93,13068
1.83.125.23,20384
1.83.125.29,7547
101.132.131.145,3000
101.132.145.132,"45622,10250"
101.132.244.198,60115
101.132.88.121,"32115,3306,1988,80,22"
101.200.120.136,"18000,8771,8500,5550,3903"
101.200.132.92,"32731,8081"
101.200.243.197,8081
101.201.28.173,22
101.201.38.226,8081
101.44.35.141,"443,80"
102.208.184.2,"8443,22"
102.210.148.92,"443,80,22"
102.210.149.105,"443,80,22"
102.210.149.121,"5000,3389,443,80,22"
102.220.23.226,"80,22"
102.220.23.229,"80,22"
102.220.23.233,"80,22"
102.220.23.238,"80,22"
102.220.23.248,"80,22"
102.50.254.120,7547
103.113.104.49,26
103.114.160.189,"16200,14996,2095"
103.118.114.22,"8292,2000"
103.153.68.170,3030
103.159.50.137,22
103.159.96.223,8282
103.160.37.151,22
103.161.207.2,80
103.179.27.94,"27781,8728,8271,2000,1723,1194,443,53"
103.181.143.10,"39810,888,887,443,80,22,21"
103.181.143.112,"11557,1985,888,443,80"
103.181.143.216,"39090,888,887,443,80,22,21"
103.181.143.73,"8100,8008,8007,8005,8003,8002,8001,5432,5006,4001,4000,443,80,22,21"
103.183.74.130,"443,80,22"
103.183.75.90,"22,21"
103.186.1.120,"888,887,443,80,22,21"
103.186.1.59,"8081,8080,443,80,22"
103.193.178.214,"8100,8080,7100,5500,5000,443,80,22"
103.193.178.248,"5435,443,80,22,21"
103.193.178.42,"8443,4000,443,80,22"
103.193.178.68,"7946,3000,2377,443,80,22"
103.200.25.159,2000
103.200.25.197,10879
103.212.121.126,3306
103.212.36.230,"443,80"
103.226.138.52,"8090,7080,443,80,22,21"
103.226.138.95,"8069,443,80,22"
103.226.139.139,"443,80,22"
103.249.117.229,40157
103.28.57.98,"28731,2000"
103.31.82.141,"49168,49163,49158,49156,49155,49154,49153,49152,47001,40000,30010,30001,30000,9999,8443,8080,8009,7070,5985,2107,2105,2103,1801,1688,1433,1051,139,135,17,13,7"
103.38.182.49,111
